timestamps,open,high,low,close,volume
2026-02-17 02:00:00,68562.31,69163.67,68316.58,68786.09,7789
2026-02-17 03:00:00,68788.36,68800.15,68396.48,68405.27,6827
2026-02-17 04:00:00,68402.53,68642.12,68204.36,68413.44,5686
2026-02-17 05:00:00,68411.66,68448.21,67825.81,68189.87,6372
2026-02-17 06:00:00,68188.49,68457.56,68164.07,68326.07,5836
2026-02-17 07:00:00,68326.81,68419.89,68097.08,68325.59,5149
2026-02-17 08:00:00,68333.15,68419.49,68057.07,68112.53,5201
2026-02-17 09:00:00,68111.81,68244.93,67909.56,68046.01,5706
2026-02-17 10:00:00,68047.12,68123.8,67624.0,67776.52,6427
2026-02-17 11:00:00,67769.99,67865.31,67607.58,67776.8,6719
2026-02-17 12:00:00,67773.15,68239.83,67750.87,67855.35,6549
2026-02-17 13:00:00,67853.04,68290.63,67659.79,68054.96,9423
2026-02-17 14:00:00,68063.76,68272.11,66643.72,66798.71,16422
2026-02-17 15:00:00,66795.13,67352.98,66542.7,67340.6,14403
2026-02-17 16:00:00,67340.96,68092.64,67256.42,67447.34,10232
2026-02-17 17:00:00,67459.98,67655.64,66802.1,67185.48,10105
2026-02-17 18:00:00,67185.56,68149.05,67044.66,68031.14,9697
2026-02-17 19:00:00,68028.46,68176.58,67671.08,67711.71,6834
2026-02-17 20:00:00,67711.39,67854.83,67412.35,67668.05,7931
2026-02-17 21:00:00,67666.48,67864.42,67459.04,67607.11,6654
2026-02-17 22:00:00,67607.65,67724.7,67432.82,67479.33,4811
2026-02-17 23:00:00,67468.0,67566.26,67311.69,67445.16,4940
2026-02-18 00:00:00,67447.52,67567.56,67219.98,67256.68,5149
2026-02-18 01:00:00,67268.75,67306.77,66817.2,67094.38,7337
2026-02-18 02:00:00,67095.84,67363.83,67078.72,67268.88,6821
2026-02-18 03:00:00,67263.96,67648.51,67263.96,67570.76,6371
2026-02-18 04:00:00,67572.27,67837.03,67433.0,67757.12,5772
2026-02-18 05:00:00,67753.74,67875.92,67528.78,67584.68,5582
2026-02-18 06:00:00,67584.51,67910.92,67541.48,67778.67,5303
2026-02-18 07:00:00,67782.35,68157.61,67626.37,68077.93,5193
2026-02-18 08:00:00,68083.58,68414.66,67999.0,68075.59,5587
2026-02-18 09:00:00,68074.64,68215.22,67939.61,68091.43,5362
2026-02-18 10:00:00,68091.39,68119.89,67659.1,67727.62,6885
2026-02-18 11:00:00,67724.53,67738.61,67013.6,67304.96,6815
2026-02-18 12:00:00,67310.2,67625.47,67277.83,67430.18,6603
2026-02-18 13:00:00,67435.62,67535.96,66994.05,67193.6,6479
2026-02-18 14:00:00,67196.11,67312.99,66641.63,67158.98,13814
2026-02-18 15:00:00,67152.01,68299.78,67120.63,67636.96,12220
2026-02-18 16:00:00,67642.39,67644.25,66919.67,67083.2,11076
2026-02-18 17:00:00,67083.17,67432.22,66978.23,67115.13,8510
2026-02-18 18:00:00,67120.92,67174.98,66133.33,66253.23,9984
2026-02-18 19:00:00,66241.4,66565.67,65789.75,66107.46,11338
2026-02-18 20:00:00,66104.72,66479.65,66070.38,66214.26,10851
2026-02-18 21:00:00,66222.01,66442.61,66023.69,66277.79,7295
2026-02-18 22:00:00,66279.44,66413.6,66162.61,66342.13,5206
2026-02-18 23:00:00,66336.14,66439.62,66201.96,66397.92,6397
2026-02-19 00:00:00,66403.28,66531.73,66269.37,66385.85,6908
2026-02-19 01:00:00,66392.2,66820.97,66387.54,66794.63,7028
2026-02-19 02:00:00,66799.39,66905.83,66572.65,66781.39,7608
2026-02-19 03:00:00,66786.56,66933.53,66654.57,66930.26,6744
2026-02-19 04:00:00,66929.25,67008.48,66695.57,66742.85,6481
2026-02-19 05:00:00,66740.67,66831.02,66620.42,66809.13,6112
2026-02-19 06:00:00,66804.8,67235.57,66802.62,67100.1,6172
2026-02-19 07:00:00,67101.33,67257.71,66966.78,67121.5,5652
2026-02-19 08:00:00,67117.82,67124.71,66726.31,66903.3,5896
2026-02-19 09:00:00,66903.62,67127.39,66687.74,66773.5,5728
2026-02-19 10:00:00,66769.96,66902.58,66669.74,66774.29,5813
2026-02-19 11:00:00,66768.28,66875.83,66406.81,66421.2,4711
2026-02-19 12:00:00,66423.93,66623.93,66255.47,66433.68,4599
2026-02-19 13:00:00,66439.27,66502.43,65702.96,65873.09,7293
2026-02-19 14:00:00,65870.42,66622.39,65576.34,66347.88,11723
2026-02-19 15:00:00,66357.7,66702.59,65911.47,66318.52,12310
2026-02-19 16:00:00,66319.11,66466.2,65819.73,66241.77,10418
2026-02-19 17:00:00,66252.78,67004.75,66111.17,66319.4,9901
2026-02-19 18:00:00,66317.95,67019.77,66170.63,66979.44,9119
2026-02-19 19:00:00,66974.31,67148.82,66640.12,67008.01,7669
2026-02-19 20:00:00,66986.74,67126.49,66772.1,67092.34,8511
2026-02-19 21:00:00,67091.18,67119.99,66841.12,66861.06,6618
2026-02-19 22:00:00,66863.13,66949.88,66583.48,66882.24,6653
2026-02-19 23:00:00,66884.17,66972.34,66753.21,66915.34,6778
2026-02-20 00:00:00,66929.1,67419.12,66882.18,67193.88,7214
2026-02-20 01:00:00,67188.18,67300.17,67086.82,67221.63,6445
2026-02-20 02:00:00,67221.57,67289.92,67113.97,67193.62,6335
2026-02-20 03:00:00,67199.18,67432.78,67176.16,67325.49,5238
2026-02-20 04:00:00,67325.31,67338.91,67047.13,67214.52,5353
2026-02-20 05:00:00,67217.3,67972.76,67145.22,67770.96,5208
2026-02-20 06:00:00,67766.21,67848.47,67606.17,67798.41,4019
2026-02-20 07:00:00,67802.99,67946.65,67714.51,67782.03,3572
2026-02-20 08:00:00,67787.05,67901.42,67696.88,67834.05,2956
2026-02-20 09:00:00,67832.05,68183.01,67822.45,68162.92,3590
2026-02-20 10:00:00,68162.58,68265.73,67811.65,67886.91,4131
2026-02-20 11:00:00,67891.61,67934.55,67230.57,67252.3,4980
2026-02-20 12:00:00,67250.37,67552.78,67224.5,67494.13,5046
2026-02-20 13:00:00,67493.55,67494.24,66395.71,66734.94,9462
2026-02-20 14:00:00,66734.47,67275.87,66618.51,67043.31,9860
2026-02-20 15:00:00,67045.52,68041.2,66501.37,67558.0,15557
2026-02-20 16:00:00,67545.8,67889.47,67170.89,67729.32,9807
2026-02-20 17:00:00,67719.34,67743.03,66907.58,67572.76,11003
2026-02-20 18:00:00,67568.63,67970.24,67405.14,67884.81,9637
2026-02-20 19:00:00,67889.94,67965.33,67502.67,67590.53,6885
2026-02-20 20:00:00,67598.46,67796.35,67479.11,67696.23,5615
2026-02-20 21:00:00,67692.7,67787.29,67577.62,67762.52,5082
2026-02-20 22:00:00,67759.62,68062.16,67579.56,68007.11,5265
2026-02-20 23:00:00,67999.71,68181.95,67848.27,67970.36,5271
2026-02-21 00:00:00,67973.22,67999.61,67732.84,67787.21,5143
2026-02-21 01:00:00,67787.96,67961.66,67777.64,67906.15,4339
2026-02-21 02:00:00,67903.02,68057.78,67854.01,67952.25,4268
2026-02-21 03:00:00,67945.74,67952.75,67486.25,67610.64,4755
2026-02-21 04:00:00,67614.31,67807.17,67535.57,67765.98,4960
2026-02-21 05:00:00,67766.78,67845.93,67756.39,67822.08,4535
2026-02-21 06:00:00,67820.69,67878.07,67703.37,67743.65,3710
2026-02-21 07:00:00,67744.66,67840.15,67697.81,67809.12,3725
2026-02-21 08:00:00,67807.0,68044.71,67764.5,68010.02,2729
2026-02-21 09:00:00,68009.02,68250.3,67921.9,68129.17,4158
2026-02-21 10:00:00,68122.94,68200.33,68089.69,68165.03,3534
2026-02-21 11:00:00,68168.37,68238.65,68027.73,68061.39,3714
2026-02-21 12:00:00,68060.33,68180.09,67865.56,68157.81,9532
2026-02-21 13:00:00,68162.25,68222.43,68060.86,68214.25,30259
2026-02-21 14:00:00,68213.93,68589.25,68134.47,68427.05,31254
2026-02-21 15:00:00,68426.74,68659.88,68352.77,68576.68,28719
2026-02-21 16:00:00,68581.49,68593.0,68055.47,68279.35,35086
2026-02-21 17:00:00,68283.22,68434.47,68153.34,68388.05,34826
2026-02-21 18:00:00,68389.38,68606.38,68337.24,68538.03,35200
2026-02-21 19:00:00,68542.69,68620.87,68480.82,68493.35,33809
2026-02-21 20:00:00,68492.64,68568.05,68145.58,68187.61,34264
2026-02-21 21:00:00,68185.41,68349.33,68137.36,68329.07,34533
2026-02-21 22:00:00,68328.91,68389.51,67855.58,67927.0,34317
2026-02-21 23:00:00,67922.25,68078.75,67894.74,67937.88,34558
2026-02-22 00:00:00,67939.94,68022.9,67764.12,67902.95,35201
2026-02-22 01:00:00,67906.36,68133.94,67899.38,68106.51,34538
2026-02-22 02:00:00,68102.61,68184.31,67826.94,67865.58,35113
2026-02-22 03:00:00,67866.86,68024.3,67782.83,68001.25,32726
2026-02-22 04:00:00,68003.04,68048.47,67920.11,67944.47,33268
2026-02-22 05:00:00,67942.69,67974.17,67835.53,67936.04,34199
