timestamps,open,high,low,close,tick_volume
2019-07-31 07:00:00,65.06,65.08,65.03,65.04,75.0
2019-07-31 08:00:00,65.04,65.09,64.99,65.05,484.0
2019-07-31 09:00:00,65.06,65.13,65.01,65.1,472.0
2019-07-31 10:00:00,65.09,65.24,65.06,65.14,547.0
2019-07-31 11:00:00,65.14,65.24,64.95,64.98,1130.0
2019-07-31 12:00:00,64.99,65.42,64.95,64.99,1709.0
2019-07-31 13:00:00,64.99,65.1,64.8,65.1,1868.0
2019-07-31 14:00:00,65.1,65.18,64.95,65.13,1357.0
2019-07-31 15:00:00,65.14,65.23,65.04,65.11,925.0
2019-07-31 16:00:00,65.11,65.11,64.49,64.59,2728.0
2019-07-31 17:00:00,64.58,64.59,64.26,64.38,1191.0
2019-07-31 18:00:00,64.37,64.43,64.17,64.26,581.0
2019-07-31 19:00:00,64.27,64.37,64.15,64.21,124.0
2019-07-31 20:00:00,64.21,64.21,64.21,64.21,1.0
2019-08-01 00:00:00,64.2,64.39,64.17,64.32,593.0
2019-08-01 01:00:00,64.32,64.51,64.32,64.42,437.0
2019-08-01 02:00:00,64.42,64.45,64.34,64.36,237.0
2019-08-01 03:00:00,64.36,64.42,64.29,64.3,341.0
2019-08-01 04:00:00,64.3,64.48,64.3,64.48,467.0
2019-08-01 05:00:00,64.47,64.49,64.31,64.38,602.0
2019-08-01 06:00:00,64.38,64.38,64.12,64.26,815.0
2019-08-01 07:00:00,64.26,64.52,64.26,64.41,774.0
2019-08-01 08:00:00,64.41,64.47,64.3,64.39,604.0
2019-08-01 09:00:00,64.39,64.45,64.33,64.41,604.0
2019-08-01 10:00:00,64.41,64.41,64.03,64.2,909.0
2019-08-01 11:00:00,64.2,64.38,63.4,63.67,1971.0
2019-08-01 12:00:00,63.67,63.87,63.56,63.72,1739.0
2019-08-01 13:00:00,63.72,63.78,63.27,63.44,1739.0
2019-08-01 14:00:00,63.44,63.51,63.16,63.27,1241.0
2019-08-01 15:00:00,63.27,63.36,60.94,60.95,3442.0
2019-08-01 16:00:00,60.91,61.11,60.02,60.93,5176.0
2019-08-01 17:00:00,60.93,61.18,60.85,61.11,1961.0
2019-08-01 18:00:00,61.13,61.16,61.01,61.08,827.0
2019-08-01 19:00:00,61.09,61.09,60.94,61.01,109.0
2019-08-01 20:00:00,61.01,61.01,61.01,61.01,1.0
2019-08-02 00:00:00,61.84,62.16,61.72,62.09,1492.0
2019-08-02 01:00:00,62.09,62.22,61.99,62.01,712.0
2019-08-02 02:00:00,62.01,62.03,61.99,62.0,372.0
2019-08-02 03:00:00,62.0,62.04,61.8,61.84,842.0
2019-08-02 04:00:00,61.84,62.0,61.64,61.68,1413.0
2019-08-02 05:00:00,61.68,61.79,61.57,61.65,1469.0
2019-08-02 06:00:00,61.62,62.03,61.57,61.93,1835.0
2019-08-02 07:00:00,61.93,61.97,61.6,61.92,1489.0
2019-08-02 08:00:00,61.91,62.2,61.91,62.11,1158.0
2019-08-02 09:00:00,62.12,62.23,62.1,62.11,887.0
2019-08-02 10:00:00,62.12,62.19,61.96,62.09,1267.0
2019-08-02 11:00:00,62.1,62.92,61.93,62.51,2700.0
2019-08-02 12:00:00,62.5,62.6,62.2,62.2,2091.0
2019-08-02 13:00:00,62.2,62.51,61.93,62.03,2512.0
2019-08-02 14:00:00,62.02,62.18,61.87,62.15,1835.0
2019-08-02 15:00:00,62.14,62.23,61.99,62.13,1556.0
2019-08-02 16:00:00,62.12,62.2,61.72,61.79,1971.0
2019-08-02 17:00:00,61.79,61.84,61.31,61.33,1251.0
2019-08-02 18:00:00,61.33,61.4,61.22,61.23,583.0
2019-08-02 19:00:00,61.23,61.23,61.23,61.23,1.0
2019-08-05 00:00:00,61.42,61.52,61.26,61.3,1357.0
2019-08-05 01:00:00,61.3,61.36,61.11,61.11,1012.0
2019-08-05 02:00:00,61.12,61.19,61.11,61.13,567.0
2019-08-05 03:00:00,61.14,61.25,61.12,61.12,710.0
2019-08-05 04:00:00,61.12,61.14,60.88,61.05,873.0
2019-08-05 05:00:00,61.04,61.1,60.92,61.01,1065.0
2019-08-05 06:00:00,60.99,61.21,60.91,60.99,1320.0
2019-08-05 07:00:00,60.99,61.49,60.97,61.39,1371.0
2019-08-05 08:00:00,61.38,61.44,61.13,61.19,991.0
2019-08-05 09:00:00,61.19,61.26,61.04,61.1,990.0
2019-08-05 10:00:00,61.11,61.24,60.88,60.92,1273.0
2019-08-05 11:00:00,60.92,60.96,60.38,60.74,1861.0
2019-08-05 12:00:00,60.75,60.75,60.41,60.5,2100.0
2019-08-05 13:00:00,60.5,60.89,60.3,60.58,3039.0
2019-08-05 14:00:00,60.58,60.79,60.19,60.34,2438.0
2019-08-05 15:00:00,60.35,60.35,59.67,59.86,2793.0
2019-08-05 16:00:00,59.85,60.01,59.66,59.83,2612.0
2019-08-05 17:00:00,59.83,59.84,59.68,59.8,1523.0
2019-08-05 18:00:00,59.79,60.05,59.79,60.05,624.0
2019-08-05 19:00:00,60.07,60.23,60.01,60.05,133.0
2019-08-05 20:00:00,60.05,60.05,60.05,60.05,1.0
2019-08-06 00:00:00,60.37,60.41,60.17,60.19,1263.0
2019-08-06 01:00:00,60.2,60.4,60.17,60.39,826.0
2019-08-06 02:00:00,60.39,60.51,60.35,60.39,914.0
2019-08-06 03:00:00,60.38,60.49,60.35,60.44,778.0
2019-08-06 04:00:00,60.44,60.55,60.3,60.54,1050.0
2019-08-06 05:00:00,60.53,60.53,60.02,60.05,1344.0
2019-08-06 06:00:00,60.04,60.14,59.78,60.13,1763.0
2019-08-06 07:00:00,60.13,60.14,59.85,60.08,1071.0
2019-08-06 08:00:00,60.07,60.09,59.82,59.83,688.0
2019-08-06 09:00:00,59.83,60.07,59.79,59.98,772.0
2019-08-06 10:00:00,60.01,60.26,59.97,60.09,1204.0
2019-08-06 11:00:00,60.08,60.39,59.99,60.06,1917.0
2019-08-06 12:00:00,60.06,60.18,59.85,59.87,1888.0
2019-08-06 13:00:00,59.87,59.93,59.49,59.63,1904.0
2019-08-06 14:00:00,59.62,59.71,59.5,59.58,1379.0
2019-08-06 15:00:00,59.58,59.61,59.49,59.54,1156.0
2019-08-06 16:00:00,59.54,59.56,58.81,59.12,1974.0
2019-08-06 17:00:00,59.13,59.21,58.97,59.06,590.0
2019-08-06 18:00:00,59.05,59.11,58.57,58.7,762.0
2019-08-06 19:00:00,58.71,58.73,58.53,58.61,91.0
2019-08-06 20:00:00,58.61,58.61,58.61,58.61,1.0
2019-08-07 00:00:00,59.05,59.06,58.75,58.92,1080.0
2019-08-07 01:00:00,58.92,58.93,58.84,58.89,701.0
2019-08-07 02:00:00,58.88,58.92,58.82,58.82,536.0
2019-08-07 03:00:00,58.83,59.02,58.81,58.94,793.0
2019-08-07 04:00:00,58.95,58.96,58.67,58.72,766.0
2019-08-07 05:00:00,58.73,59.07,58.62,59.06,930.0
2019-08-07 06:00:00,59.08,59.08,58.8,58.81,1234.0
2019-08-07 07:00:00,58.81,58.84,58.57,58.61,881.0
2019-08-07 08:00:00,58.61,58.74,58.51,58.6,782.0
2019-08-07 09:00:00,58.6,58.7,58.51,58.54,784.0
2019-08-07 10:00:00,58.54,58.56,57.68,57.7,1933.0
2019-08-07 11:00:00,57.69,57.87,56.67,56.98,3135.0
2019-08-07 12:00:00,56.99,57.73,56.4,56.97,3521.0
2019-08-07 13:00:00,56.97,57.13,56.03,56.1,3767.0
2019-08-07 14:00:00,56.09,56.55,56.0,56.41,3114.0
2019-08-07 15:00:00,56.41,56.52,56.07,56.26,2298.0
2019-08-07 16:00:00,56.21,56.67,55.87,56.61,3027.0
2019-08-07 17:00:00,56.61,57.53,56.5,57.35,2571.0
2019-08-07 18:00:00,57.36,57.49,57.3,57.36,1024.0
2019-08-07 19:00:00,57.34,57.49,57.31,57.43,111.0
2019-08-07 20:00:00,57.43,57.43,57.43,57.43,1.0
