timestamps,open,high,low,close,tick_volume
2019-01-02 03:00:00,80.177,80.184,80.088,80.148,803.0
2019-01-02 04:00:00,80.146,80.467,80.13,80.364,1167.0
2019-01-02 05:00:00,80.355,80.392,80.221,80.288,1065.0
2019-01-02 06:00:00,80.29,80.57,80.258,80.505,3403.0
2019-01-02 07:00:00,80.505,80.524,79.94,79.986,6368.0
2019-01-02 08:00:00,79.986,79.993,79.767,79.94,5505.0
2019-01-02 09:00:00,79.94,80.047,79.873,79.989,3511.0
2019-01-02 10:00:00,79.989,80.102,79.96,80.033,4000.0
2019-01-02 11:00:00,80.033,80.187,80.002,80.036,3920.0
2019-01-02 12:00:00,80.036,80.048,79.648,79.985,6125.0
2019-01-02 13:00:00,79.985,80.259,79.981,80.242,7203.0
2019-01-02 14:00:00,80.242,80.561,80.181,80.315,8569.0
2019-01-02 15:00:00,80.315,80.496,80.299,80.353,6802.0
2019-01-02 16:00:00,80.348,80.623,80.339,80.581,5338.0
2019-01-02 17:00:00,80.581,80.617,80.478,80.555,4050.0
2019-01-02 18:00:00,80.555,80.555,80.344,80.364,4789.0
2019-01-02 19:00:00,80.365,80.372,80.226,80.311,4998.0
2019-01-02 20:00:00,80.311,80.349,80.109,80.182,2350.0
2019-01-02 21:00:00,80.159,80.159,76.699,78.077,5282.0
2019-01-02 22:00:00,78.077,79.035,78.027,78.798,9106.0
2019-01-02 23:00:00,78.799,79.145,78.792,78.954,3547.0
2019-01-03 00:00:00,78.954,79.08,78.807,78.941,3340.0
2019-01-03 01:00:00,78.94,78.94,78.552,78.573,3076.0
2019-01-03 02:00:00,78.571,78.634,78.487,78.587,2064.0
2019-01-03 03:00:00,78.587,78.666,78.551,78.575,1402.0
2019-01-03 04:00:00,78.576,78.589,78.221,78.409,2386.0
2019-01-03 05:00:00,78.411,78.439,78.322,78.384,3005.0
2019-01-03 06:00:00,78.384,79.05,78.383,78.975,9170.0
2019-01-03 07:00:00,78.975,79.277,78.853,79.044,8831.0
2019-01-03 08:00:00,79.044,79.217,79.043,79.047,4899.0
2019-01-03 09:00:00,79.047,79.104,78.93,79.046,4608.0
2019-01-03 10:00:00,79.046,79.06,78.94,78.986,4059.0
2019-01-03 11:00:00,78.986,79.288,78.961,79.257,3900.0
2019-01-03 12:00:00,79.257,79.687,79.194,79.586,7814.0
2019-01-03 13:00:00,79.586,79.824,79.577,79.667,8068.0
2019-01-03 14:00:00,79.674,79.831,79.125,79.605,16421.0
2019-01-03 15:00:00,79.604,80.331,79.53,80.161,13144.0
2019-01-03 16:00:00,80.161,80.213,79.949,80.173,9035.0
2019-01-03 17:00:00,80.173,80.179,79.873,80.004,7771.0
2019-01-03 18:00:00,80.004,80.066,79.913,79.931,6661.0
2019-01-03 19:00:00,79.932,79.947,79.623,79.745,8839.0
2019-01-03 20:00:00,79.745,79.87,79.715,79.81,2595.0
2019-01-03 21:00:00,79.799,79.852,79.741,79.85,2403.0
2019-01-03 22:00:00,79.85,80.1,79.827,79.996,4013.0
2019-01-03 23:00:00,79.996,80.063,79.706,79.716,7114.0
2019-01-04 00:00:00,79.716,80.079,79.7,79.986,5506.0
2019-01-04 01:00:00,79.986,80.23,79.961,80.156,4177.0
2019-01-04 02:00:00,80.156,80.396,80.143,80.329,3683.0
2019-01-04 03:00:00,80.329,80.402,80.309,80.329,2296.0
2019-01-04 04:00:00,80.329,80.364,80.224,80.255,2182.0
2019-01-04 05:00:00,80.254,80.29,80.125,80.279,2808.0
2019-01-04 06:00:00,80.279,80.38,80.12,80.185,4309.0
2019-01-04 07:00:00,80.183,80.413,80.15,80.398,4973.0
2019-01-04 08:00:00,80.398,80.417,80.25,80.334,4358.0
2019-01-04 09:00:00,80.334,80.357,80.205,80.237,3446.0
2019-01-04 10:00:00,80.237,80.33,80.237,80.309,3229.0
2019-01-04 11:00:00,80.309,80.425,80.289,80.384,3226.0
2019-01-04 12:00:00,80.384,80.699,80.33,80.618,9577.0
2019-01-04 13:00:00,80.617,80.815,80.551,80.663,10224.0
2019-01-04 14:00:00,80.668,80.942,80.478,80.738,13351.0
2019-01-04 15:00:00,80.737,80.888,80.628,80.799,10040.0
2019-01-04 16:00:00,80.799,81.018,80.735,80.923,6179.0
2019-01-04 17:00:00,80.923,81.091,80.885,80.929,5174.0
2019-01-04 18:00:00,80.929,81.018,80.906,81.006,5158.0
2019-01-04 19:00:00,81.005,81.009,80.902,80.945,4392.0
2019-01-04 20:00:00,80.945,81.122,80.93,81.111,1329.0
2019-01-06 21:00:00,81.061,81.103,80.978,81.014,2346.0
2019-01-06 22:00:00,81.008,81.208,80.983,81.18,3571.0
2019-01-06 23:00:00,81.18,81.213,81.073,81.073,3803.0
2019-01-07 00:00:00,81.073,81.195,81.019,81.061,3325.0
2019-01-07 01:00:00,81.061,81.078,80.992,80.996,2104.0
2019-01-07 02:00:00,80.996,81.021,80.869,80.94,2555.0
2019-01-07 03:00:00,80.941,81.071,80.851,81.071,2837.0
2019-01-07 04:00:00,81.072,81.082,80.954,80.986,2045.0
2019-01-07 05:00:00,80.987,81.038,80.957,80.995,1706.0
2019-01-07 06:00:00,80.995,81.053,80.892,81.021,4433.0
2019-01-07 07:00:00,81.021,81.053,80.929,80.969,4178.0
2019-01-07 08:00:00,80.968,81.011,80.895,80.958,3064.0
2019-01-07 09:00:00,80.959,81.08,80.926,81.069,2840.0
2019-01-07 10:00:00,81.069,81.103,81.033,81.1,2270.0
2019-01-07 11:00:00,81.1,81.128,81.03,81.074,3007.0
2019-01-07 12:00:00,81.074,81.182,81.038,81.149,3516.0
2019-01-07 13:00:00,81.149,81.205,81.002,81.172,4947.0
2019-01-07 14:00:00,81.172,81.553,81.094,81.432,9081.0
2019-01-07 15:00:00,81.431,81.726,81.422,81.707,5536.0
