timestamps,open,high,low,close,tick_volume
2019-01-01 21:00:00,135.67,136.12,134.77,135.93,327.0
2019-01-01 22:00:00,135.92,138.87,135.17,137.87,1164.0
2019-01-01 23:00:00,137.87,138.78,137.11,137.77,786.0
2019-01-02 00:00:00,137.78,138.02,136.67,136.87,393.0
2019-01-02 01:00:00,136.82,137.37,136.72,137.22,250.0
2019-01-02 02:00:00,137.22,137.78,137.06,137.31,240.0
2019-01-02 03:00:00,137.31,138.27,137.17,138.11,308.0
2019-01-02 04:00:00,138.11,138.11,137.51,137.82,271.0
2019-01-02 05:00:00,137.83,138.17,137.27,137.72,443.0
2019-01-02 06:00:00,137.72,142.72,137.67,142.22,1161.0
2019-01-02 07:00:00,142.27,145.01,142.22,143.42,884.0
2019-01-02 08:00:00,143.37,144.22,142.42,143.11,626.0
2019-01-02 09:00:00,143.06,147.51,143.01,147.01,656.0
2019-01-02 10:00:00,147.02,147.81,145.67,146.47,860.0
2019-01-02 11:00:00,146.48,146.87,144.87,146.57,482.0
2019-01-02 12:00:00,146.57,150.57,146.57,150.42,887.0
2019-01-02 13:00:00,150.43,150.51,147.77,149.12,711.0
2019-01-02 14:00:00,149.07,149.79,145.62,146.98,922.0
2019-01-02 15:00:00,146.99,150.99,146.52,148.28,1021.0
2019-01-02 16:00:00,148.28,148.93,146.93,147.98,945.0
2019-01-02 17:00:00,147.93,148.38,146.52,148.02,523.0
2019-01-02 18:00:00,147.98,149.69,146.98,149.29,520.0
2019-01-02 19:00:00,149.28,150.23,148.23,150.02,800.0
2019-01-02 20:00:00,150.08,153.74,149.38,152.58,862.0
2019-01-02 21:00:00,152.89,153.48,151.38,152.83,640.0
2019-01-02 22:00:00,152.84,154.43,150.52,151.23,873.0
2019-01-02 23:00:00,151.24,151.94,148.43,148.43,563.0
2019-01-03 00:00:00,148.43,150.33,148.43,150.18,803.0
2019-01-03 01:00:00,150.18,151.34,149.52,149.98,311.0
2019-01-03 02:00:00,149.98,150.62,149.78,150.62,177.0
2019-01-03 03:00:00,150.62,152.52,150.28,151.12,330.0
2019-01-03 04:00:00,151.12,151.82,149.78,150.73,497.0
2019-01-03 05:00:00,150.73,151.23,150.33,150.83,278.0
2019-01-03 06:00:00,150.83,150.99,150.43,150.43,236.0
