timestamps,open,high,low,close,tick_volume
2019-01-02 03:00:00,1.56195,1.56269,1.56171,1.56197,1278.0
2019-01-02 04:00:00,1.5619,1.56297,1.55854,1.56103,2615.0
2019-01-02 05:00:00,1.56101,1.56341,1.56075,1.56278,2341.0
2019-01-02 06:00:00,1.56252,1.56275,1.5574,1.55805,4571.0
2019-01-02 07:00:00,1.55802,1.5593,1.55633,1.55909,7512.0
2019-01-02 08:00:00,1.55908,1.5603,1.55655,1.55797,6014.0
2019-01-02 09:00:00,1.55795,1.55949,1.5571,1.5589,3829.0
2019-01-02 10:00:00,1.5589,1.5598,1.55723,1.5585,3908.0
2019-01-02 11:00:00,1.5585,1.5585,1.55422,1.55507,4897.0
2019-01-02 12:00:00,1.55507,1.55586,1.55187,1.55209,9077.0
2019-01-02 13:00:00,1.55208,1.55217,1.54749,1.54771,8409.0
2019-01-02 14:00:00,1.54775,1.54816,1.5409,1.54461,11507.0
2019-01-02 15:00:00,1.54461,1.54535,1.54156,1.54342,8493.0
2019-01-02 16:00:00,1.54342,1.54362,1.53819,1.5393,7538.0
2019-01-02 17:00:00,1.5393,1.53997,1.53825,1.53886,5920.0
2019-01-02 18:00:00,1.53886,1.54123,1.53853,1.54104,5232.0
2019-01-02 19:00:00,1.54104,1.54254,1.54055,1.54073,4993.0
2019-01-02 20:00:00,1.54071,1.5423,1.53993,1.53996,2167.0
2019-01-02 21:00:00,1.5405,1.54779,1.53717,1.54461,5118.0
2019-01-02 22:00:00,1.54461,1.54827,1.54125,1.54175,6137.0
2019-01-02 23:00:00,1.54175,1.54625,1.54135,1.5456,3663.0
2019-01-03 00:00:00,1.54561,1.54714,1.54529,1.5455,3804.0
2019-01-03 01:00:00,1.54551,1.54849,1.54543,1.54836,2827.0
2019-01-03 02:00:00,1.54836,1.55011,1.54788,1.54927,2180.0
2019-01-03 03:00:00,1.54925,1.54994,1.54898,1.54977,1313.0
2019-01-03 04:00:00,1.54977,1.55055,1.54916,1.54947,2215.0
2019-01-03 05:00:00,1.54947,1.5501,1.54823,1.54981,3007.0
2019-01-03 06:00:00,1.54979,1.55005,1.54707,1.54802,6069.0
2019-01-03 07:00:00,1.54802,1.54971,1.54557,1.54935,8332.0
2019-01-03 08:00:00,1.54935,1.54972,1.54783,1.54894,5238.0
2019-01-03 09:00:00,1.54894,1.54946,1.5469,1.54767,5069.0
2019-01-03 10:00:00,1.54767,1.54861,1.54391,1.54394,5107.0
2019-01-03 11:00:00,1.54394,1.54435,1.54045,1.54052,5078.0
2019-01-03 12:00:00,1.5405,1.54164,1.5363,1.53831,9039.0
2019-01-03 13:00:00,1.53831,1.5386,1.5352,1.53586,7698.0
2019-01-03 14:00:00,1.53603,1.5437,1.53603,1.5388,17596.0
2019-01-03 15:00:00,1.53881,1.53944,1.53422,1.53668,13781.0
2019-01-03 16:00:00,1.53668,1.53761,1.53486,1.53549,9997.0
2019-01-03 17:00:00,1.53549,1.53806,1.53513,1.53634,7124.0
2019-01-03 18:00:00,1.53634,1.53689,1.5343,1.535,7030.0
2019-01-03 19:00:00,1.535,1.53711,1.53489,1.53645,8181.0
2019-01-03 20:00:00,1.53645,1.53657,1.5356,1.5364,2407.0
2019-01-03 21:00:00,1.53641,1.53771,1.53516,1.53554,1688.0
2019-01-03 22:00:00,1.53554,1.53612,1.53495,1.53521,2498.0
2019-01-03 23:00:00,1.53519,1.53815,1.53509,1.538,3242.0
2019-01-04 00:00:00,1.538,1.5389,1.53684,1.53713,2513.0
2019-01-04 01:00:00,1.53713,1.53761,1.53648,1.53689,2108.0
2019-01-04 02:00:00,1.53689,1.53723,1.53603,1.53672,2798.0
2019-01-04 03:00:00,1.53672,1.53681,1.53574,1.53627,1721.0
2019-01-04 04:00:00,1.53625,1.53659,1.53594,1.53599,1752.0
2019-01-04 05:00:00,1.53599,1.53609,1.53423,1.53502,1972.0
2019-01-04 06:00:00,1.53505,1.53507,1.53367,1.534,4365.0
2019-01-04 07:00:00,1.53402,1.53515,1.53215,1.53262,4902.0
2019-01-04 08:00:00,1.53262,1.5344,1.5323,1.53304,4088.0
2019-01-04 09:00:00,1.53299,1.53487,1.5323,1.53412,4852.0
2019-01-04 10:00:00,1.5342,1.53545,1.5336,1.53409,3434.0
2019-01-04 11:00:00,1.53409,1.53424,1.5319,1.53212,4096.0
2019-01-04 12:00:00,1.53215,1.53297,1.52587,1.52727,10037.0
2019-01-04 13:00:00,1.52727,1.5284,1.524,1.52553,10201.0
2019-01-04 14:00:00,1.52646,1.5286,1.52474,1.5275,12868.0
2019-01-04 15:00:00,1.52751,1.53106,1.5261,1.5287,10962.0
2019-01-04 16:00:00,1.5287,1.52999,1.52715,1.52814,8059.0
2019-01-04 17:00:00,1.52814,1.52821,1.5269,1.5276,5871.0
2019-01-04 18:00:00,1.5276,1.52765,1.52624,1.5268,6750.0
2019-01-04 19:00:00,1.52678,1.52796,1.52651,1.52749,5038.0
2019-01-04 20:00:00,1.52749,1.52771,1.52373,1.52376,2161.0
2019-01-06 21:00:00,1.5245,1.52677,1.52435,1.52661,464.0
2019-01-06 22:00:00,1.52661,1.5272,1.52511,1.52532,2338.0
2019-01-06 23:00:00,1.52532,1.52651,1.52457,1.52617,2298.0
2019-01-07 00:00:00,1.52616,1.5267,1.52521,1.5265,1982.0
2019-01-07 01:00:00,1.5265,1.5265,1.52544,1.52571,1589.0
2019-01-07 02:00:00,1.52571,1.5262,1.5254,1.5257,1689.0
2019-01-07 03:00:00,1.52569,1.5267,1.52528,1.52528,2139.0
2019-01-07 04:00:00,1.52528,1.52586,1.52522,1.52571,1549.0
2019-01-07 05:00:00,1.5257,1.5262,1.5247,1.5249,2097.0
2019-01-07 06:00:00,1.5249,1.52697,1.52407,1.5267,4440.0
2019-01-07 07:00:00,1.52671,1.52748,1.52584,1.52719,4566.0
2019-01-07 08:00:00,1.52716,1.52969,1.52683,1.5287,3428.0
2019-01-07 09:00:00,1.5287,1.52911,1.5275,1.5285,2563.0
2019-01-07 10:00:00,1.52848,1.5291,1.52802,1.5282,2845.0
2019-01-07 11:00:00,1.52822,1.52898,1.52687,1.52727,4752.0
2019-01-07 12:00:00,1.52727,1.52993,1.52714,1.52956,5547.0
2019-01-07 13:00:00,1.52956,1.53212,1.52884,1.52974,5951.0
2019-01-07 14:00:00,1.52983,1.53004,1.52443,1.52615,9362.0
2019-01-07 15:00:00,1.52612,1.52663,1.5235,1.52414,6481.0
2019-01-07 16:00:00,1.52414,1.52581,1.52351,1.52431,5399.0
2019-01-07 17:00:00,1.52431,1.5256,1.52307,1.5252,6380.0
2019-01-07 18:00:00,1.5252,1.5269,1.52498,1.52606,5130.0
2019-01-07 19:00:00,1.52606,1.52641,1.5252,1.52584,4155.0
2019-01-07 20:00:00,1.52587,1.52618,1.52526,1.52564,1518.0
2019-01-07 21:00:00,1.52564,1.52594,1.52468,1.5256,1870.0
2019-01-07 22:00:00,1.52556,1.52628,1.5254,1.52621,2265.0
2019-01-07 23:00:00,1.52621,1.52625,1.52419,1.5243,2296.0
2019-01-08 00:00:00,1.5243,1.52433,1.52218,1.52242,3516.0
2019-01-08 01:00:00,1.5224,1.52252,1.52033,1.52045,2727.0
2019-01-08 02:00:00,1.52045,1.52119,1.51788,1.51969,2819.0
2019-01-08 03:00:00,1.51969,1.51976,1.51819,1.519,2090.0
2019-01-08 04:00:00,1.51904,1.5198,1.51875,1.51975,2515.0
2019-01-08 05:00:00,1.51976,1.5202,1.51893,1.5192,2969.0
2019-01-08 06:00:00,1.51919,1.52037,1.51797,1.5202,5419.0
2019-01-08 07:00:00,1.5202,1.52111,1.51938,1.51995,4007.0
2019-01-08 08:00:00,1.52,1.52066,1.51954,1.52004,3048.0
2019-01-08 09:00:00,1.52003,1.5201,1.5182,1.51993,4320.0
2019-01-08 10:00:00,1.51994,1.52284,1.51944,1.5223,3283.0
2019-01-08 11:00:00,1.5223,1.52276,1.52125,1.52161,4577.0
2019-01-08 12:00:00,1.52161,1.52209,1.51942,1.5203,6986.0
2019-01-08 13:00:00,1.5203,1.52071,1.51939,1.51966,6668.0
2019-01-08 14:00:00,1.51964,1.52149,1.51837,1.52027,8757.0
2019-01-08 15:00:00,1.52023,1.52471,1.5198,1.5228,6707.0
2019-01-08 16:00:00,1.52279,1.52375,1.5214,1.52298,5117.0
2019-01-08 17:00:00,1.52299,1.5236,1.52015,1.5202,3753.0
2019-01-08 18:00:00,1.52016,1.52061,1.51881,1.51961,2883.0
2019-01-08 19:00:00,1.51959,1.51966,1.51826,1.51877,2976.0
2019-01-08 20:00:00,1.51881,1.51923,1.51826,1.51832,1780.0
