timestamps,open,high,low,close,tick_volume
2019-01-02 03:00:00,125.265,125.27,125.165,125.228,4042.0
2019-01-02 04:00:00,125.222,125.495,125.221,125.489,4987.0
2019-01-02 05:00:00,125.47,125.55,125.425,125.509,4226.0
2019-01-02 06:00:00,125.503,125.565,125.43,125.47,8114.0
2019-01-02 07:00:00,125.467,125.481,124.577,124.747,13456.0
2019-01-02 08:00:00,124.747,124.75,124.384,124.587,10591.0
2019-01-02 09:00:00,124.585,124.822,124.531,124.738,8454.0
2019-01-02 10:00:00,124.737,124.819,124.718,124.773,7498.0
2019-01-02 11:00:00,124.773,124.871,124.496,124.499,8228.0
2019-01-02 12:00:00,124.499,124.517,123.877,124.189,11849.0
2019-01-02 13:00:00,124.188,124.321,124.173,124.235,12265.0
2019-01-02 14:00:00,124.238,124.336,124.061,124.098,13506.0
2019-01-02 15:00:00,124.099,124.23,124.054,124.057,9458.0
2019-01-02 16:00:00,124.056,124.104,123.949,124.079,9298.0
2019-01-02 17:00:00,124.078,124.084,123.955,124.002,6622.0
2019-01-02 18:00:00,124.002,124.039,123.866,123.889,6807.0
2019-01-02 19:00:00,123.889,123.899,123.698,123.779,8984.0
2019-01-02 20:00:00,123.779,123.811,123.513,123.531,3130.0
2019-01-02 21:00:00,123.538,123.807,118.586,120.827,6855.0
2019-01-02 22:00:00,120.825,122.326,120.659,121.519,14002.0
2019-01-02 23:00:00,121.519,122.246,121.514,122.062,7971.0
2019-01-03 00:00:00,122.061,122.248,121.901,122.028,9692.0
2019-01-03 01:00:00,122.028,122.043,121.601,121.675,7954.0
2019-01-03 02:00:00,121.675,121.892,121.571,121.776,6993.0
2019-01-03 03:00:00,121.774,121.925,121.734,121.793,4848.0
2019-01-03 04:00:00,121.794,121.833,121.275,121.516,8341.0
2019-01-03 05:00:00,121.516,121.571,121.336,121.505,8808.0
2019-01-03 06:00:00,121.505,122.358,121.504,122.275,15598.0
2019-01-03 07:00:00,122.275,122.822,122.13,122.493,15194.0
2019-01-03 08:00:00,122.493,122.72,122.458,122.462,9030.0
2019-01-03 09:00:00,122.462,122.482,122.228,122.357,9483.0
2019-01-03 10:00:00,122.354,122.398,121.933,121.971,8396.0
2019-01-03 11:00:00,121.971,122.289,121.937,122.117,5795.0
2019-01-03 12:00:00,122.116,122.472,122.081,122.456,11955.0
2019-01-03 13:00:00,122.454,122.688,122.396,122.422,10592.0
2019-01-03 14:00:00,122.408,122.966,122.051,122.513,24279.0
2019-01-03 15:00:00,122.517,123.404,122.439,123.203,18585.0
2019-01-03 16:00:00,123.203,123.206,122.926,123.127,13852.0
2019-01-03 17:00:00,123.127,123.129,122.854,122.936,11398.0
2019-01-03 18:00:00,122.937,122.988,122.715,122.718,9460.0
2019-01-03 19:00:00,122.717,122.783,122.391,122.546,12174.0
2019-01-03 20:00:00,122.547,122.69,122.494,122.64,3120.0
2019-01-03 21:00:00,122.638,122.708,122.574,122.667,5263.0
2019-01-03 22:00:00,122.667,122.985,122.634,122.837,9949.0
2019-01-03 23:00:00,122.837,122.924,122.573,122.622,12795.0
2019-01-04 00:00:00,122.622,123.099,122.621,122.969,10224.0
2019-01-04 01:00:00,122.969,123.327,122.93,123.211,8599.0
2019-01-04 02:00:00,123.211,123.576,123.202,123.464,6388.0
2019-01-04 03:00:00,123.464,123.568,123.4,123.428,5425.0
2019-01-04 04:00:00,123.428,123.466,123.242,123.29,4188.0
2019-01-04 05:00:00,123.29,123.32,123.062,123.253,4691.0
2019-01-04 06:00:00,123.253,123.345,122.922,123.023,8441.0
2019-01-04 07:00:00,123.023,123.258,122.992,123.239,8936.0
2019-01-04 08:00:00,123.24,123.331,123.091,123.179,8151.0
2019-01-04 09:00:00,123.179,123.199,123.043,123.116,6504.0
2019-01-04 10:00:00,123.116,123.27,123.116,123.223,4709.0
2019-01-04 11:00:00,123.223,123.29,123.166,123.178,4824.0
2019-01-04 12:00:00,123.179,123.34,123.101,123.142,13055.0
2019-01-04 13:00:00,123.144,123.287,123.071,123.075,12460.0
2019-01-04 14:00:00,123.152,123.578,122.837,123.351,19798.0
2019-01-04 15:00:00,123.35,123.678,123.287,123.535,12690.0
2019-01-04 16:00:00,123.535,123.79,123.464,123.682,8174.0
2019-01-04 17:00:00,123.682,123.848,123.613,123.651,6605.0
2019-01-04 18:00:00,123.651,123.754,123.59,123.697,7932.0
2019-01-04 19:00:00,123.696,123.696,123.605,123.665,6463.0
2019-01-04 20:00:00,123.665,123.676,123.593,123.644,1580.0
2019-01-06 21:00:00,123.628,123.749,123.6,123.706,3562.0
2019-01-06 22:00:00,123.702,123.908,123.627,123.849,10692.0
2019-01-06 23:00:00,123.849,123.905,123.742,123.757,6757.0
2019-01-07 00:00:00,123.757,123.869,123.701,123.76,6625.0
2019-01-07 01:00:00,123.761,123.773,123.601,123.601,4467.0
2019-01-07 02:00:00,123.601,123.613,123.427,123.512,5573.0
2019-01-07 03:00:00,123.512,123.68,123.445,123.676,5689.0
2019-01-07 04:00:00,123.678,123.713,123.525,123.582,4134.0
2019-01-07 05:00:00,123.583,123.687,123.473,123.53,4163.0
2019-01-07 06:00:00,123.53,123.742,123.396,123.715,8008.0
2019-01-07 07:00:00,123.716,123.745,123.561,123.676,6629.0
2019-01-07 08:00:00,123.676,123.848,123.648,123.781,5188.0
2019-01-07 09:00:00,123.782,123.939,123.718,123.932,4483.0
2019-01-07 10:00:00,123.931,123.989,123.896,123.956,3932.0
2019-01-07 11:00:00,123.957,123.992,123.808,123.835,4404.0
2019-01-07 12:00:00,123.835,124.155,123.817,124.141,6157.0
2019-01-07 13:00:00,124.141,124.249,124.054,124.209,7441.0
2019-01-07 14:00:00,124.197,124.379,124.102,124.297,11481.0
2019-01-07 15:00:00,124.296,124.568,124.245,124.555,7385.0
2019-01-07 16:00:00,124.555,124.576,124.462,124.551,4790.0
2019-01-07 17:00:00,124.55,124.744,124.531,124.564,5166.0
2019-01-07 18:00:00,124.564,124.682,124.559,124.652,5243.0
2019-01-07 19:00:00,124.653,124.791,124.644,124.752,4563.0
2019-01-07 20:00:00,124.751,124.778,124.666,124.735,1867.0
2019-01-07 21:00:00,124.743,124.75,124.616,124.68,2007.0
2019-01-07 22:00:00,124.679,124.734,124.649,124.685,4135.0
2019-01-07 23:00:00,124.684,124.852,124.674,124.686,6780.0
2019-01-08 00:00:00,124.687,124.709,124.245,124.276,7821.0
2019-01-08 01:00:00,124.276,124.507,124.232,124.473,6080.0
2019-01-08 02:00:00,124.473,124.557,124.286,124.533,5357.0
2019-01-08 03:00:00,124.533,124.684,124.53,124.661,4453.0
2019-01-08 04:00:00,124.662,124.692,124.478,124.481,4421.0
2019-01-08 05:00:00,124.481,124.638,124.419,124.616,4420.0
2019-01-08 06:00:00,124.616,124.795,124.49,124.706,8841.0
2019-01-08 07:00:00,124.706,124.741,124.552,124.683,6575.0
2019-01-08 08:00:00,124.683,124.761,124.618,124.67,4855.0
2019-01-08 09:00:00,124.67,124.671,124.387,124.426,6182.0
2019-01-08 10:00:00,124.427,124.716,124.378,124.652,5646.0
2019-01-08 11:00:00,124.652,124.669,124.392,124.525,6050.0
2019-01-08 12:00:00,124.525,124.528,124.326,124.406,8837.0
2019-01-08 13:00:00,124.406,124.609,124.355,124.514,7499.0
2019-01-08 14:00:00,124.514,124.541,124.193,124.27,9400.0
2019-01-08 15:00:00,124.267,124.347,124.113,124.246,8748.0
2019-01-08 16:00:00,124.246,124.375,124.215,124.372,6290.0
2019-01-08 17:00:00,124.372,124.419,124.284,124.291,5476.0
2019-01-08 18:00:00,124.291,124.352,124.268,124.309,3917.0
2019-01-08 19:00:00,124.309,124.437,124.26,124.418,3642.0
2019-01-08 20:00:00,124.419,124.497,124.352,124.394,1673.0
2019-01-08 21:00:00,124.392,124.529,124.35,124.454,4227.0
2019-01-08 22:00:00,124.453,124.643,124.453,124.596,3525.0
2019-01-08 23:00:00,124.605,124.707,124.521,124.54,6549.0
2019-01-09 00:00:00,124.54,124.702,124.511,124.645,7501.0
2019-01-09 01:00:00,124.646,124.856,124.645,124.715,7707.0
2019-01-09 02:00:00,124.715,124.805,124.693,124.731,6085.0
2019-01-09 03:00:00,124.734,124.782,124.684,124.755,4502.0
2019-01-09 04:00:00,124.755,124.81,124.705,124.751,3972.0
2019-01-09 05:00:00,124.75,124.777,124.679,124.709,4220.0
2019-01-09 06:00:00,124.71,124.962,124.651,124.875,7370.0
2019-01-09 07:00:00,124.867,124.94,124.74,124.799,7723.0
2019-01-09 08:00:00,124.799,124.941,124.765,124.809,6473.0
2019-01-09 09:00:00,124.809,124.848,124.653,124.697,5691.0
2019-01-09 10:00:00,124.697,124.778,124.55,124.77,5362.0
2019-01-09 11:00:00,124.77,124.796,124.611,124.671,5528.0
2019-01-09 12:00:00,124.671,124.741,124.597,124.65,6608.0
2019-01-09 13:00:00,124.648,125.009,124.563,124.979,12460.0
2019-01-09 14:00:00,124.972,125.09,124.459,124.525,14952.0
2019-01-09 15:00:00,124.525,124.986,124.523,124.909,10763.0
2019-01-09 16:00:00,124.909,124.928,124.81,124.916,7961.0
2019-01-09 17:00:00,124.916,124.95,124.831,124.893,6228.0
2019-01-09 18:00:00,124.895,125.018,124.725,124.985,12428.0
2019-01-09 19:00:00,124.986,125.046,124.686,124.794,9712.0
2019-01-09 20:00:00,124.796,124.839,124.73,124.825,3980.0
2019-01-09 21:00:00,124.828,124.912,124.761,124.908,2926.0
2019-01-09 22:00:00,124.908,125.025,124.908,125.004,6716.0
2019-01-09 23:00:00,125.003,125.064,124.788,124.821,10232.0
2019-01-10 00:00:00,124.819,124.834,124.526,124.76,12258.0
2019-01-10 01:00:00,124.757,124.787,124.607,124.766,8406.0
2019-01-10 02:00:00,124.763,124.851,124.734,124.81,7893.0
2019-01-10 03:00:00,124.81,124.839,124.719,124.811,6535.0
2019-01-10 04:00:00,124.811,124.822,124.64,124.755,5221.0
2019-01-10 05:00:00,124.754,124.786,124.547,124.569,5659.0
2019-01-10 06:00:00,124.57,124.678,124.458,124.559,8526.0
2019-01-10 07:00:00,124.557,124.726,124.517,124.569,8927.0
2019-01-10 08:00:00,124.569,124.717,124.49,124.577,9010.0
2019-01-10 09:00:00,124.576,124.776,124.544,124.658,6415.0
2019-01-10 10:00:00,124.658,124.714,124.502,124.56,5906.0
2019-01-10 11:00:00,124.56,124.754,124.519,124.667,6614.0
2019-01-10 12:00:00,124.666,124.777,124.629,124.647,7375.0
2019-01-10 13:00:00,124.648,124.68,124.356,124.492,9256.0
2019-01-10 14:00:00,124.492,124.69,124.466,124.682,9884.0
2019-01-10 15:00:00,124.682,124.771,124.65,124.722,8030.0
2019-01-10 16:00:00,124.722,124.789,124.561,124.724,8924.0
2019-01-10 17:00:00,124.722,124.73,124.462,124.58,10327.0
2019-01-10 18:00:00,124.58,124.754,124.578,124.685,7202.0
2019-01-10 19:00:00,124.685,124.745,124.649,124.737,5213.0
2019-01-10 20:00:00,124.739,124.788,124.682,124.691,2110.0
2019-01-10 21:00:00,124.696,124.705,124.594,124.674,3953.0
2019-01-10 22:00:00,124.674,124.719,124.616,124.622,6180.0
2019-01-10 23:00:00,124.625,124.859,124.622,124.795,8872.0
2019-01-11 00:00:00,124.796,124.889,124.7,124.85,7349.0
2019-01-11 01:00:00,124.855,124.86,124.72,124.801,6787.0
2019-01-11 02:00:00,124.801,124.892,124.75,124.819,5516.0
2019-01-11 03:00:00,124.82,124.898,124.756,124.884,5027.0
2019-01-11 04:00:00,124.884,124.922,124.788,124.826,4966.0
2019-01-11 05:00:00,124.827,124.929,124.8,124.879,3445.0
2019-01-11 06:00:00,124.879,124.989,124.832,124.862,5295.0
2019-01-11 07:00:00,124.862,124.884,124.719,124.855,6824.0
2019-01-11 08:00:00,124.855,124.863,124.72,124.802,5955.0
2019-01-11 09:00:00,124.802,124.965,124.734,124.898,6920.0
2019-01-11 10:00:00,124.898,124.92,124.739,124.903,7176.0
2019-01-11 11:00:00,124.903,124.947,124.833,124.88,5933.0
2019-01-11 12:00:00,124.881,124.922,124.643,124.724,9098.0
2019-01-11 13:00:00,124.724,124.755,124.289,124.388,13953.0
2019-01-11 14:00:00,124.386,124.505,124.276,124.424,8986.0
2019-01-11 15:00:00,124.425,124.469,124.227,124.368,7195.0
2019-01-11 16:00:00,124.368,124.485,124.368,124.479,4984.0
2019-01-11 17:00:00,124.479,124.489,124.415,124.43,3277.0
2019-01-11 18:00:00,124.43,124.447,124.355,124.39,3277.0
2019-01-11 19:00:00,124.39,124.434,124.342,124.424,4702.0
2019-01-11 20:00:00,124.423,124.468,124.381,124.419,1296.0
2019-01-13 21:00:00,124.311,124.408,124.223,124.394,2075.0
2019-01-13 22:00:00,124.394,124.422,124.25,124.275,5557.0
2019-01-13 23:00:00,124.275,124.361,124.274,124.292,2714.0
2019-01-14 00:00:00,124.291,124.358,124.13,124.165,3998.0
