timestamps,open,high,low,close,tick_volume
2019-01-02 03:00:00,1.73727,1.73818,1.73715,1.73778,1264.0
2019-01-02 04:00:00,1.73777,1.73844,1.73273,1.7348,2334.0
2019-01-02 05:00:00,1.73487,1.73673,1.73415,1.73557,2138.0
2019-01-02 06:00:00,1.73527,1.73572,1.72983,1.73114,3966.0
2019-01-02 07:00:00,1.73112,1.73455,1.72893,1.73111,8136.0
2019-01-02 08:00:00,1.73111,1.73344,1.7285,1.72893,6076.0
2019-01-02 09:00:00,1.72893,1.73035,1.72685,1.72735,4084.0
2019-01-02 10:00:00,1.72735,1.72822,1.72577,1.72623,4967.0
2019-01-02 11:00:00,1.72623,1.72639,1.72367,1.72502,5689.0
2019-01-02 12:00:00,1.72502,1.72626,1.72048,1.72101,9768.0
2019-01-02 13:00:00,1.72101,1.72107,1.71669,1.71742,8334.0
2019-01-02 14:00:00,1.71747,1.71886,1.71115,1.71417,12361.0
2019-01-02 15:00:00,1.71423,1.71586,1.70933,1.71212,11761.0
2019-01-02 16:00:00,1.7121,1.71236,1.70822,1.7092,7757.0
2019-01-02 17:00:00,1.70921,1.71189,1.70848,1.71059,5456.0
2019-01-02 18:00:00,1.71059,1.71347,1.71007,1.71332,5238.0
2019-01-02 19:00:00,1.7133,1.71504,1.71236,1.71256,4399.0
2019-01-02 20:00:00,1.71256,1.71401,1.71123,1.71123,2294.0
2019-01-02 21:00:00,1.71187,1.71229,1.68977,1.69873,4075.0
2019-01-02 22:00:00,1.69864,1.71179,1.69796,1.70572,6314.0
2019-01-02 23:00:00,1.70572,1.71132,1.70558,1.71027,2367.0
2019-01-03 00:00:00,1.71028,1.71041,1.70815,1.70877,2180.0
2019-01-03 01:00:00,1.70877,1.71152,1.70853,1.71028,2249.0
2019-01-03 02:00:00,1.71031,1.71174,1.70919,1.71078,2042.0
2019-01-03 03:00:00,1.71076,1.71156,1.71049,1.71076,1167.0
2019-01-03 04:00:00,1.71076,1.71206,1.71054,1.71108,1616.0
2019-01-03 05:00:00,1.71108,1.71173,1.71007,1.71078,1967.0
2019-01-03 06:00:00,1.71078,1.71233,1.70778,1.70902,4993.0
2019-01-03 07:00:00,1.70902,1.71143,1.70707,1.71102,7315.0
2019-01-03 08:00:00,1.71102,1.71313,1.70984,1.71301,5193.0
2019-01-03 09:00:00,1.71301,1.71368,1.7107,1.7112,5277.0
2019-01-03 10:00:00,1.7112,1.71198,1.70911,1.70958,4627.0
2019-01-03 11:00:00,1.7096,1.7097,1.7057,1.70577,5006.0
2019-01-03 12:00:00,1.70577,1.70693,1.70162,1.70411,10077.0
2019-01-03 13:00:00,1.70409,1.70431,1.69988,1.69988,7932.0
2019-01-03 14:00:00,1.69985,1.70593,1.69954,1.702,15578.0
2019-01-03 15:00:00,1.70201,1.70403,1.69961,1.70286,13572.0
2019-01-03 16:00:00,1.70286,1.70503,1.70144,1.70305,8691.0
2019-01-03 17:00:00,1.70305,1.7049,1.7022,1.70234,5582.0
2019-01-03 18:00:00,1.70234,1.70303,1.70124,1.70211,5706.0
2019-01-03 19:00:00,1.70211,1.70399,1.70191,1.7031,5866.0
2019-01-03 20:00:00,1.7031,1.7043,1.70236,1.70284,2488.0
2019-01-03 21:00:00,1.70284,1.70482,1.70219,1.70252,1712.0
2019-01-03 22:00:00,1.70251,1.7035,1.7011,1.70191,3384.0
2019-01-03 23:00:00,1.70191,1.70448,1.701,1.70431,3872.0
2019-01-04 00:00:00,1.70431,1.70552,1.70344,1.70379,2657.0
2019-01-04 01:00:00,1.70379,1.70433,1.70284,1.70398,1653.0
2019-01-04 02:00:00,1.70398,1.70485,1.70337,1.70438,1840.0
2019-01-04 03:00:00,1.70435,1.70445,1.70337,1.70379,1765.0
2019-01-04 04:00:00,1.70379,1.70394,1.70333,1.70378,1708.0
2019-01-04 05:00:00,1.70378,1.70406,1.70171,1.70239,1637.0
2019-01-04 06:00:00,1.70239,1.70292,1.70007,1.70108,3172.0
2019-01-04 07:00:00,1.7011,1.70392,1.7011,1.70206,4838.0
2019-01-04 08:00:00,1.70206,1.70412,1.70146,1.70368,4813.0
2019-01-04 09:00:00,1.70365,1.70763,1.7031,1.70534,5076.0
2019-01-04 10:00:00,1.70534,1.70558,1.7027,1.70291,5357.0
2019-01-04 11:00:00,1.70291,1.70377,1.70139,1.70185,5350.0
2019-01-04 12:00:00,1.70185,1.70373,1.69701,1.69812,9946.0
2019-01-04 13:00:00,1.69812,1.69897,1.69522,1.69807,9355.0
2019-01-04 14:00:00,1.6978,1.70336,1.69595,1.70336,13980.0
2019-01-04 15:00:00,1.70345,1.70696,1.70109,1.70659,12127.0
2019-01-04 16:00:00,1.70661,1.70838,1.70425,1.70501,8271.0
2019-01-04 17:00:00,1.70502,1.70646,1.70375,1.70574,6109.0
2019-01-04 18:00:00,1.70574,1.70752,1.70496,1.70652,4964.0
2019-01-04 19:00:00,1.70648,1.70741,1.70548,1.70632,4542.0
2019-01-04 20:00:00,1.70633,1.70649,1.70098,1.7012,2651.0
2019-01-06 21:00:00,1.70124,1.70342,1.7007,1.70228,1106.0
2019-01-06 22:00:00,1.70228,1.70375,1.7018,1.70199,2114.0
2019-01-06 23:00:00,1.70199,1.70391,1.70163,1.70351,2122.0
2019-01-07 00:00:00,1.70353,1.70366,1.70257,1.70304,1818.0
2019-01-07 01:00:00,1.70304,1.70328,1.70212,1.70248,1520.0
2019-01-07 02:00:00,1.70248,1.70322,1.70235,1.70278,938.0
2019-01-07 03:00:00,1.70277,1.70309,1.70217,1.70219,1281.0
2019-01-07 04:00:00,1.70219,1.70292,1.70185,1.70274,1359.0
2019-01-07 05:00:00,1.70274,1.70301,1.70208,1.70254,1788.0
2019-01-07 06:00:00,1.70254,1.70302,1.70161,1.70191,2936.0
2019-01-07 07:00:00,1.70191,1.70286,1.69926,1.70031,4389.0
2019-01-07 08:00:00,1.7003,1.70561,1.69953,1.70361,5008.0
2019-01-07 09:00:00,1.70361,1.70399,1.70076,1.70114,3642.0
2019-01-07 10:00:00,1.70115,1.70403,1.70115,1.70368,3658.0
2019-01-07 11:00:00,1.70368,1.70466,1.70165,1.70194,4839.0
2019-01-07 12:00:00,1.70194,1.70482,1.70188,1.70406,5483.0
2019-01-07 13:00:00,1.70406,1.70661,1.70331,1.70387,6756.0
2019-01-07 14:00:00,1.70405,1.70444,1.69848,1.70034,10846.0
2019-01-07 15:00:00,1.70028,1.70034,1.69531,1.6955,8553.0
2019-01-07 16:00:00,1.69547,1.69963,1.69542,1.6978,4898.0
2019-01-07 17:00:00,1.6978,1.6978,1.69604,1.69714,5666.0
2019-01-07 18:00:00,1.69721,1.6984,1.69675,1.69757,5185.0
