timestamps,open,high,low,close,tick_volume
2021-01-03 22:00:00,48.25,48.5,48.11,48.42,536.0
2021-01-03 23:00:00,48.42,48.45,48.36,48.37,272.0
2021-01-04 00:00:00,48.38,48.76,48.38,48.75,563.0
2021-01-04 01:00:00,48.76,49.28,48.72,49.16,434.0
2021-01-04 02:00:00,49.17,49.23,48.94,48.97,413.0
2021-01-04 03:00:00,48.98,49.04,48.94,49.03,184.0
2021-01-04 04:00:00,49.04,49.21,49.01,49.2,294.0
2021-01-04 05:00:00,49.2,49.68,49.19,49.39,753.0
2021-01-04 06:00:00,49.39,49.58,49.39,49.57,518.0
2021-01-04 07:00:00,49.57,49.81,49.36,49.6,967.0
2021-01-04 08:00:00,49.61,49.79,48.74,48.87,976.0
2021-01-04 09:00:00,48.86,49.04,48.82,48.96,581.0
2021-01-04 10:00:00,48.96,49.05,48.77,48.9,513.0
2021-01-04 11:00:00,48.9,48.91,48.15,48.25,894.0
2021-01-04 12:00:00,48.22,48.96,48.19,48.94,913.0
2021-01-04 13:00:00,48.92,49.07,48.18,48.64,1299.0
2021-01-04 14:00:00,48.65,48.76,47.31,47.68,1750.0
2021-01-04 15:00:00,47.68,47.77,47.24,47.69,1675.0
2021-01-04 16:00:00,47.68,47.79,47.46,47.63,1002.0
2021-01-04 17:00:00,47.62,48.03,47.59,47.98,765.0
2021-01-04 18:00:00,47.99,47.99,47.28,47.54,1108.0
2021-01-04 19:00:00,47.55,47.57,47.17,47.35,585.0
2021-01-04 20:00:00,47.36,47.39,47.23,47.34,278.0
2021-01-04 22:00:00,47.45,47.45,47.24,47.39,309.0
2021-01-04 23:00:00,47.39,47.55,47.36,47.5,228.0
2021-01-05 00:00:00,47.51,47.8,47.48,47.72,519.0
2021-01-05 01:00:00,47.73,47.8,47.67,47.68,302.0
2021-01-05 02:00:00,47.67,47.76,47.55,47.58,271.0
2021-01-05 03:00:00,47.58,47.6,47.52,47.57,191.0
2021-01-05 04:00:00,47.58,47.66,47.49,47.5,262.0
2021-01-05 05:00:00,47.49,47.56,47.32,47.53,481.0
2021-01-05 06:00:00,47.54,47.66,47.38,47.45,570.0
2021-01-05 07:00:00,47.46,47.74,47.46,47.71,848.0
2021-01-05 08:00:00,47.7,48.07,47.6,48.04,713.0
2021-01-05 09:00:00,48.03,48.2,47.76,48.12,584.0
2021-01-05 10:00:00,48.13,48.54,48.1,48.48,666.0
2021-01-05 11:00:00,48.49,48.54,48.2,48.38,669.0
2021-01-05 12:00:00,48.39,48.41,48.01,48.01,664.0
2021-01-05 13:00:00,48.0,49.56,48.0,49.46,1481.0
2021-01-05 14:00:00,49.47,50.0,49.47,49.77,1374.0
2021-01-05 15:00:00,49.78,49.97,49.36,49.61,1436.0
2021-01-05 16:00:00,49.62,49.95,49.57,49.83,929.0
2021-01-05 17:00:00,49.82,50.14,49.79,50.07,1155.0
2021-01-05 18:00:00,50.07,50.18,49.83,49.94,766.0
