timestamps,open,high,low,close,tick_volume
2019-01-02 03:00:00,1.3647,1.36554,1.36466,1.36482,1155.0
2019-01-02 04:00:00,1.36478,1.36513,1.35898,1.36002,2395.0
2019-01-02 05:00:00,1.36008,1.36104,1.35878,1.36077,1825.0
2019-01-02 06:00:00,1.36049,1.36086,1.35683,1.35764,2777.0
2019-01-02 07:00:00,1.35767,1.36231,1.35726,1.36191,4548.0
2019-01-02 08:00:00,1.36191,1.36343,1.36187,1.36259,3568.0
2019-01-02 09:00:00,1.36259,1.36316,1.36186,1.36305,2003.0
2019-01-02 10:00:00,1.36305,1.36378,1.36246,1.36311,2409.0
2019-01-02 11:00:00,1.36311,1.36415,1.36195,1.36353,3332.0
2019-01-02 12:00:00,1.36354,1.36614,1.36316,1.36493,5296.0
2019-01-02 13:00:00,1.36494,1.365,1.36221,1.36242,5011.0
2019-01-02 14:00:00,1.3624,1.36283,1.35722,1.36051,8319.0
2019-01-02 15:00:00,1.36051,1.36084,1.35793,1.35914,6256.0
2019-01-02 16:00:00,1.35914,1.35933,1.35702,1.35802,4313.0
2019-01-02 17:00:00,1.35805,1.35944,1.35739,1.35851,4080.0
2019-01-02 18:00:00,1.35851,1.35953,1.35829,1.35857,4000.0
2019-01-02 19:00:00,1.35856,1.35962,1.35797,1.35804,3442.0
2019-01-02 20:00:00,1.35804,1.35925,1.35767,1.35768,1448.0
2019-01-02 21:00:00,1.35767,1.36427,1.35767,1.36355,2578.0
2019-01-02 22:00:00,1.36355,1.36534,1.36152,1.36304,2571.0
2019-01-02 23:00:00,1.36304,1.36315,1.36218,1.36313,1207.0
2019-01-03 00:00:00,1.36313,1.36335,1.36189,1.36199,1625.0
2019-01-03 01:00:00,1.362,1.36339,1.36198,1.36332,1523.0
2019-01-03 02:00:00,1.36332,1.36351,1.36291,1.36333,961.0
2019-01-03 03:00:00,1.36333,1.36389,1.36333,1.3635,585.0
2019-01-03 04:00:00,1.3635,1.36445,1.36334,1.36399,930.0
2019-01-03 05:00:00,1.36398,1.36411,1.36252,1.36292,1258.0
2019-01-03 06:00:00,1.36292,1.36342,1.36142,1.36166,3003.0
2019-01-03 07:00:00,1.36166,1.36246,1.36069,1.36162,5134.0
2019-01-03 08:00:00,1.36162,1.36184,1.36069,1.36177,2779.0
2019-01-03 09:00:00,1.36177,1.36205,1.36088,1.36153,2922.0
2019-01-03 10:00:00,1.36153,1.36217,1.36144,1.36146,2674.0
2019-01-03 11:00:00,1.36147,1.36172,1.35773,1.35825,3167.0
2019-01-03 12:00:00,1.35825,1.35873,1.35329,1.35368,6232.0
2019-01-03 13:00:00,1.35368,1.35369,1.35126,1.3518,5560.0
2019-01-03 14:00:00,1.35132,1.35441,1.35054,1.35083,11406.0
2019-01-03 15:00:00,1.35084,1.35171,1.34726,1.34831,11026.0
2019-01-03 16:00:00,1.34831,1.34866,1.34689,1.3472,6130.0
2019-01-03 17:00:00,1.34723,1.34876,1.34705,1.3477,5908.0
2019-01-03 18:00:00,1.34771,1.34833,1.34682,1.34762,5969.0
2019-01-03 19:00:00,1.34763,1.34883,1.34753,1.34809,5809.0
2019-01-03 20:00:00,1.34809,1.34878,1.34766,1.34878,1605.0
2019-01-03 21:00:00,1.34866,1.34954,1.3477,1.3477,674.0
2019-01-03 22:00:00,1.3477,1.34812,1.34733,1.34789,852.0
2019-01-03 23:00:00,1.34789,1.34882,1.3478,1.34854,1332.0
2019-01-04 00:00:00,1.34854,1.34902,1.34757,1.34792,1000.0
2019-01-04 01:00:00,1.34792,1.34847,1.3476,1.34847,973.0
2019-01-04 02:00:00,1.34847,1.34903,1.34828,1.34828,1094.0
2019-01-04 03:00:00,1.34828,1.3486,1.3482,1.34833,549.0
