timestamps,open,high,low,close,tick_volume
2019-01-02 03:00:00,15.358,15.376,15.341,15.375,399.0
2019-01-02 04:00:00,15.375,15.419,15.364,15.411,638.0
2019-01-02 05:00:00,15.411,15.444,15.406,15.413,709.0
2019-01-02 06:00:00,15.413,15.442,15.405,15.431,658.0
2019-01-02 07:00:00,15.431,15.505,15.402,15.492,1289.0
2019-01-02 08:00:00,15.491,15.491,15.452,15.454,1212.0
2019-01-02 09:00:00,15.454,15.48,15.445,15.452,955.0
2019-01-02 10:00:00,15.453,15.465,15.415,15.423,1006.0
2019-01-02 11:00:00,15.422,15.446,15.398,15.414,1236.0
2019-01-02 12:00:00,15.416,15.438,15.361,15.371,1922.0
2019-01-02 13:00:00,15.371,15.445,15.358,15.444,2063.0
2019-01-02 14:00:00,15.444,15.564,15.439,15.537,2185.0
2019-01-02 15:00:00,15.537,15.595,15.479,15.52,1753.0
2019-01-02 16:00:00,15.522,15.575,15.504,15.554,1369.0
2019-01-02 17:00:00,15.548,15.584,15.417,15.445,1625.0
2019-01-02 18:00:00,15.444,15.489,15.421,15.486,909.0
2019-01-02 19:00:00,15.488,15.502,15.468,15.498,592.0
2019-01-02 20:00:00,15.498,15.503,15.485,15.494,291.0
2019-01-02 22:00:00,15.545,15.564,15.465,15.471,611.0
2019-01-02 23:00:00,15.47,15.508,15.469,15.503,778.0
2019-01-03 00:00:00,15.503,15.574,15.503,15.567,1270.0
2019-01-03 01:00:00,15.568,15.58,15.541,15.545,1016.0
2019-01-03 02:00:00,15.545,15.55,15.526,15.536,686.0
2019-01-03 03:00:00,15.536,15.566,15.532,15.557,559.0
2019-01-03 04:00:00,15.56,15.572,15.528,15.566,887.0
2019-01-03 05:00:00,15.565,15.598,15.54,15.593,946.0
2019-01-03 06:00:00,15.593,15.597,15.557,15.567,1222.0
2019-01-03 07:00:00,15.567,15.594,15.547,15.573,2099.0
2019-01-03 08:00:00,15.573,15.578,15.549,15.568,1434.0
2019-01-03 09:00:00,15.568,15.582,15.536,15.577,1185.0
2019-01-03 10:00:00,15.576,15.578,15.516,15.553,1147.0
2019-01-03 11:00:00,15.554,15.574,15.52,15.567,1274.0
2019-01-03 12:00:00,15.567,15.648,15.535,15.629,2433.0
2019-01-03 13:00:00,15.63,15.656,15.616,15.63,1627.0
2019-01-03 14:00:00,15.65,15.675,15.575,15.623,3356.0
2019-01-03 15:00:00,15.624,15.659,15.61,15.653,1638.0
2019-01-03 16:00:00,15.653,15.696,15.648,15.689,1165.0
2019-01-03 17:00:00,15.689,15.731,15.65,15.671,1337.0
2019-01-03 18:00:00,15.671,15.719,15.655,15.716,1085.0
2019-01-03 19:00:00,15.714,15.735,15.702,15.716,827.0
2019-01-03 20:00:00,15.715,15.718,15.699,15.711,413.0
2019-01-03 22:00:00,15.717,15.73,15.703,15.727,356.0
2019-01-03 23:00:00,15.727,15.756,15.72,15.755,714.0
2019-01-04 00:00:00,15.753,15.855,15.748,15.798,1639.0
2019-01-04 01:00:00,15.794,15.832,15.794,15.8,828.0
2019-01-04 02:00:00,15.8,15.804,15.777,15.791,801.0
2019-01-04 03:00:00,15.791,15.815,15.774,15.78,609.0
2019-01-04 04:00:00,15.783,15.81,15.764,15.768,769.0
2019-01-04 05:00:00,15.761,15.783,15.739,15.753,788.0
2019-01-04 06:00:00,15.754,15.76,15.695,15.714,1052.0
2019-01-04 07:00:00,15.714,15.771,15.673,15.678,1662.0
2019-01-04 08:00:00,15.678,15.719,15.649,15.669,1688.0
2019-01-04 09:00:00,15.667,15.693,15.656,15.681,1100.0
2019-01-04 10:00:00,15.679,15.712,15.676,15.684,858.0
2019-01-04 11:00:00,15.693,15.704,15.665,15.687,1034.0
2019-01-04 12:00:00,15.688,15.739,15.631,15.723,2733.0
2019-01-04 13:00:00,15.724,15.728,15.567,15.579,2659.0
2019-01-04 14:00:00,15.58,15.715,15.567,15.699,2829.0
2019-01-04 15:00:00,15.699,15.735,15.673,15.727,1666.0
2019-01-04 16:00:00,15.728,15.736,15.689,15.706,915.0
2019-01-04 17:00:00,15.704,15.727,15.639,15.644,1039.0
2019-01-04 18:00:00,15.643,15.67,15.622,15.652,1069.0
2019-01-04 19:00:00,15.652,15.674,15.642,15.664,721.0
2019-01-04 20:00:00,15.661,15.689,15.661,15.677,244.0
2019-01-06 22:00:00,15.697,15.702,15.673,15.681,319.0
2019-01-06 23:00:00,15.678,15.706,15.658,15.699,676.0
2019-01-07 00:00:00,15.699,15.771,15.699,15.752,1130.0
2019-01-07 01:00:00,15.753,15.775,15.744,15.749,643.0
2019-01-07 02:00:00,15.747,15.756,15.737,15.748,528.0
2019-01-07 03:00:00,15.748,15.768,15.741,15.766,552.0
2019-01-07 04:00:00,15.763,15.796,15.763,15.781,628.0
2019-01-07 05:00:00,15.781,15.798,15.719,15.741,906.0
2019-01-07 06:00:00,15.741,15.76,15.712,15.75,1157.0
2019-01-07 07:00:00,15.751,15.787,15.74,15.767,1237.0
2019-01-07 08:00:00,15.766,15.792,15.739,15.751,1063.0
2019-01-07 09:00:00,15.752,15.759,15.72,15.737,837.0
2019-01-07 10:00:00,15.736,15.754,15.722,15.731,715.0
2019-01-07 11:00:00,15.723,15.763,15.723,15.743,825.0
2019-01-07 12:00:00,15.744,15.801,15.731,15.747,1488.0
2019-01-07 13:00:00,15.746,15.748,15.682,15.697,1513.0
2019-01-07 14:00:00,15.702,15.731,15.658,15.682,1750.0
2019-01-07 15:00:00,15.682,15.685,15.631,15.673,1410.0
2019-01-07 16:00:00,15.668,15.687,15.648,15.673,863.0
2019-01-07 17:00:00,15.673,15.694,15.634,15.639,1048.0
2019-01-07 18:00:00,15.639,15.645,15.609,15.633,766.0
2019-01-07 19:00:00,15.634,15.639,15.602,15.627,683.0
2019-01-07 20:00:00,15.627,15.63,15.616,15.623,334.0
2019-01-07 22:00:00,15.645,15.653,15.638,15.639,285.0
2019-01-07 23:00:00,15.639,15.654,15.627,15.653,461.0
2019-01-08 00:00:00,15.65,15.669,15.592,15.602,1147.0
2019-01-08 01:00:00,15.602,15.612,15.552,15.559,758.0
2019-01-08 02:00:00,15.559,15.561,15.505,15.517,769.0
2019-01-08 03:00:00,15.517,15.544,15.504,15.529,561.0
2019-01-08 04:00:00,15.524,15.538,15.482,15.519,623.0
2019-01-08 05:00:00,15.513,15.549,15.513,15.543,669.0
2019-01-08 06:00:00,15.543,15.546,15.522,15.531,1046.0
2019-01-08 07:00:00,15.535,15.581,15.532,15.578,923.0
2019-01-08 08:00:00,15.577,15.597,15.565,15.587,1057.0
2019-01-08 09:00:00,15.582,15.59,15.541,15.588,859.0
2019-01-08 10:00:00,15.586,15.611,15.562,15.601,653.0
2019-01-08 11:00:00,15.601,15.628,15.567,15.577,1054.0
2019-01-08 12:00:00,15.577,15.602,15.543,15.579,1527.0
2019-01-08 13:00:00,15.579,15.667,15.572,15.643,1377.0
2019-01-08 14:00:00,15.643,15.663,15.581,15.605,1522.0
2019-01-08 15:00:00,15.605,15.619,15.582,15.594,1045.0
2019-01-08 16:00:00,15.595,15.652,15.595,15.648,855.0
2019-01-08 17:00:00,15.652,15.662,15.629,15.653,992.0
